be,なれ
and,と
of,の
to,に
a,a
in,の
have,持ってる
it,それ
you,あなた
he,彼
for,為に
they,彼ら
not,いいえ
that,それ
we,私たち
on,の上
with,と
this,これ
i,私
do,行う
as,なので
at,で
she,彼女
but,しかし
from,から
by,に
will,意思
or,また
say,いう
go,行く
so,それで
all,全て
if,もしも
one,1
would,します
about,約
can,できる
which,どれの
there,そこの
know,知る
more,もっと
get,得る
who,誰
like,お気に入り
when,いつ
think,考える
make,作る
time,時間
see,見る
what,何
up,上
some,いくつか
other,他の
out,アウト
good,良い
people,人
year,年
take,取った
no,番号
well,良い
because,なぜなら
very,とても
just,ただ
come,来て
could,できる
work,仕事
use,使用する
than,よりも
now,今
then,それから
also,また
into,の中へ
only,それだけ
look,見る
want,欲しいです
give,与える
first,最初
new,新着
way,仕方
find,探す
over,以上
any,どれか
after,後
day,日
where,どこ
thing,もの
most,多くの
should,したほうがいい
need,必要
much,多くの
right,右
how,どうやって
back,戻る
mean,平均
even,平
may,五月
here,ここ
many,たくさんの
such,そのような
last,過去
child,子
tell,教えて
really,本当
call,電話
before,前
company,会社
through,終えた
down,下
show,見せる
life,生活
man,男
change,変化する
place,場所
long,長いです
between,の間に
feel,感じられる
too,それも
still,まだ
problem,問題
write,書きます
same,同じ
lot,多く
great,すごい
try,試す
leave,離れる
number,番号
both,両方
own,自分の
part,部
point,点
little,少し
help,ヘルプ
ask,聞く
meet,会う
start,始める
talk,話
something,なにか
put,置く
another,別
become,なる
interest,興味
country,国
old,年
each,各
school,学校
late,遅い
high,高い
different,違う
off,オフ
next,次
end,終わり
live,住む
why,どうして
while,その間
world,世界
week,週
play,遊ぶ
might,そうかもしれない
must,しなければならない
home,家
never,一度もない
include,含む
course,コース
house,家
report,報告
group,グループ
case,場合
woman,女性
around,その周り
book,本
family,家族
seem,思われる
let,させて
again,また
kind,親切
keep,保つ
hear,聞く
system,システム
every,毎日
question,質問
during,その間
always,いつも
big,大きい
set,設定
small,小さな
study,勉強
follow,従う
begin,始める
important,重要
since,以来
run,走る
under,下
turn,順番
few,少し
bring,持っていく
early,早い
hand,手
state,州
move,動く
money,お金
fact,事実
however,でも
area,範囲
provide,提供
name,名前
read,読んだ
friend,友達
month,月
large,大きい
business,仕事
without,それなし
information,情報
open,開いた
order,注文
government,政府
word,語
issue,問題
market,市場
pay,支払い
build,建てる
hold,所有
service,サービス
against,に対して
believe,信じる
second,2番目
though,けれど
yes,はい
love,愛
increase,増加
job,仕事
plan,予定
result,結果
away,あちらへ
example,例
happen,起こる
offer,オファー
young,若い
close,近い
program,プログラム
lead,リード
buy,買う
understand,理解する
thank,感謝
far,遠い
today,今日
hour,時間
student,学生
face,顔
hope,望み
idea,考え
cost,料金
less,以下
room,部屋
until,それまで
reason,理由
form,形
spend,費やす
head,頭
car,車
learn,学び
level,レベル
person,人
experience,経験
once,一度
member,メンバー
enough,足りる
bad,悪い
city,街
night,夜
able,できる
support,サポート
whether,どうにか
line,ライン
present,現在
side,側
quite,とても
although,でも
sure,承知しました
term,学期
least,少しでも
age,年
low,低い
speak,話す
within,内部
process,処理する
public,公衆
often,頻繁
train,訓練
possible,可能
actually,実際に
rather,それよりも
view,見る
together,一緒
consider,検討
price,価格
parent,親
hard,難しい
party,パーティ
local,ローカル
control,コントロール
already,すでに
concern,懸念
product,製品
lose,失う
story,話
almost,ほとんど
continue,継続する
stand,台
whole,全体
yet,まだ
rate,レート
care,お手入れ
expect,予想
effect,効果
sort,選別
ever,これまで
anything,なんでも
cause,原因
fall,秋
deal,対処
water,水
send,送信
allow,許可する
soon,すぐ
watch,見る
base,ベース
probably,おそらく
suggest,提案
past,過去
power,パワー
test,テスト
visit,訪問
center,中心
grow,育つ
nothing,なし
return,戻る
mother,母親
walk,歩く
matter,案件
mind,マインド
value,価値
office,オフィス
record,記録
stay,止まる
force,力
stop,止まる
